Comment,Designator,Footprint,LCSC,Quantity
Buzzer,BZ2,Buzzer_12x9.5RM6.6,,1
k1,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
DB1,J1,M12-5,,1
VAL,SW1,SW_PUSH_6mm,,1
DB1,J4,M12-5,,1
DB1,J3,M12-5,,1
DB1,J5,M12-5,,1
DB1,J2,M12-5,,1
IPS_240_240,U3,IPS_240_240_1.3,,1
LilyGO_T-SIM7080G-S3,U1,LilyGO_T-SIM7080G-S3,,1
CONF,SW2,SW_PUSH_6mm,,1
DB1,J6,M12-5,,1
